Year,StateAbbr,StateDesc,CityName,GeographicLevel,DataSource,Category,UniqueID,Measure,Data_Value_Unit,DataValueTypeID,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Data_Value_Footnote_Symbol,Data_Value_Footnote,PopulationCount,GeoLocation,CategoryID,MeasureId,CityFIPS,TractFIPS,Short_Question_Text
2016,AL,Alabama,Birmingham,City,BRFSS,Unhealthy Behaviors,0107000,Obesity among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,42.6,42.4,42.7,,,212237,"(33.5275663773, -86.7988174678)",UNHBEH,OBESITY,107000.0,,Obesity
2016,AL,Alabama,Birmingham,City,BRFSS,Prevention,0107000,Papanicolaou smear use among adult women aged 21–65 Years,%,AgeAdjPrv,Age-adjusted prevalence,78.4,78.1,78.8,,,212237,"(33.5275663773, -86.7988174678)",PREVENT,PAPTEST,107000.0,,Pap Smear Test
2016,AL,Alabama,Birmingham,City,BRFSS,Health Outcomes,0107000,Stroke among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,5.0,4.9,5.1,,,212237,"(33.5275663773, -86.7988174678)",HLTHOUT,STROKE,107000.0,,Stroke
2016,AL,Alabama,Birmingham,City,BRFSS,Health Outcomes,0107000,Physical health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,16.3,16.1,16.5,,,212237,"(33.5275663773, -86.7988174678)",HLTHOUT,PHLTH,107000.0,,Physical Health
2016,AL,Alabama,Birmingham,City,BRFSS,Unhealthy Behaviors,0107000,Sleeping less than 7 hours among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,41.8,41.7,42.0,,,212237,"(33.5275663773, -86.7988174678)",UNHBEH,SLEEP,107000.0,,Sleep <7 hours
2016,AL,Alabama,Birmingham,City,BRFSS,Health Outcomes,0107000,All teeth lost among adults aged >=65 Years,%,AgeAdjPrv,Age-adjusted prevalence,22.9,21.8,23.9,,,212237,"(33.5275663773, -86.7988174678)",HLTHOUT,TEETHLOST,107000.0,,Teeth Loss
2016,AL,Alabama,Hoover,City,BRFSS,Prevention,0135896,Current lack of health insurance among adults aged 18–64 Years,%,AgeAdjPrv,Age-adjusted prevalence,10.6,10.1,11.1,,,81619,"(33.3767602729, -86.8051937568)",PREVENT,ACCESS2,135896.0,,Health Insurance
2016,AL,Alabama,Hoover,City,BRFSS,Health Outcomes,0135896,Arthritis among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,23.1,22.8,23.4,,,81619,"(33.3767602729, -86.8051937568)",HLTHOUT,ARTHRITIS,135896.0,,Arthritis
2016,AL,Alabama,Hoover,City,BRFSS,Unhealthy Behaviors,0135896,Binge drinking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,18.0,17.9,18.2,,,81619,"(33.3767602729, -86.8051937568)",UNHBEH,BINGE,135896.0,,Binge Drinking
2015,AL,Alabama,Hoover,City,BRFSS,Health Outcomes,0135896,High blood pressure among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,29.7,29.4,30.0,,,81619,"(33.3767602729, -86.8051937568)",HLTHOUT,BPHIGH,135896.0,,High Blood Pressure
2015,AL,Alabama,Hoover,City,BRFSS,Prevention,0135896,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,AgeAdjPrv,Age-adjusted prevalence,63.3,63.0,63.5,,,81619,"(33.3767602729, -86.8051937568)",PREVENT,BPMED,135896.0,,Taking BP Medication
2016,AL,Alabama,Hoover,City,BRFSS,Health Outcomes,0135896,Cancer (excluding skin cancer) among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,6.4,6.4,6.5,,,81619,"(33.3767602729, -86.8051937568)",HLTHOUT,CANCER,135896.0,,Cancer (except skin)
2016,AL,Alabama,Hoover,City,BRFSS,Health Outcomes,0135896,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,7.9,7.7,8.0,,,81619,"(33.3767602729, -86.8051937568)",HLTHOUT,CASTHMA,135896.0,,Current Asthma
2016,AL,Alabama,Hoover,City,BRFSS,Health Outcomes,0135896,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,5.1,5.0,5.2,,,81619,"(33.3767602729, -86.8051937568)",HLTHOUT,CHD,135896.0,,Coronary Heart Disease
2016,AL,Alabama,Hoover,City,BRFSS,Prevention,0135896,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,72.7,72.5,72.9,,,81619,"(33.3767602729, -86.8051937568)",PREVENT,CHECKUP,135896.0,,Annual Checkup
2015,AL,Alabama,Hoover,City,BRFSS,Prevention,0135896,Cholesterol screening among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,81.2,80.8,81.6,,,81619,"(33.3767602729, -86.8051937568)",PREVENT,CHOLSCREEN,135896.0,,Cholesterol Screening
2016,AL,Alabama,Hoover,City,BRFSS,Prevention,0135896,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50–75 Years",%,AgeAdjPrv,Age-adjusted prevalence,74.3,73.6,75.0,,,81619,"(33.3767602729, -86.8051937568)",PREVENT,COLON_SCREEN,135896.0,,Colorectal Cancer Screening
2016,AL,Alabama,Hoover,City,BRFSS,Health Outcomes,0135896,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,5.1,4.9,5.3,,,81619,"(33.3767602729, -86.8051937568)",HLTHOUT,COPD,135896.0,,COPD
2016,AL,Alabama,Hoover,City,BRFSS,Prevention,0135896,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,AgeAdjPrv,Age-adjusted prevalence,46.8,45.0,48.5,,,81619,"(33.3767602729, -86.8051937568)",PREVENT,COREM,135896.0,,Core preventive services for older men
2016,AL,Alabama,Hoover,City,BRFSS,Prevention,0135896,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,AgeAdjPrv,Age-adjusted prevalence,39.3,37.9,40.7,,,81619,"(33.3767602729, -86.8051937568)",PREVENT,COREW,135896.0,,Core preventive services for older women
2016,AL,Alabama,Hoover,City,BRFSS,Unhealthy Behaviors,0135896,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,13.9,13.3,14.5,,,81619,"(33.3767602729, -86.8051937568)",UNHBEH,CSMOKING,135896.0,,Current Smoking
2016,AL,Alabama,Hoover,City,BRFSS,Prevention,0135896,Visits to dentist or dental clinic among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,74.5,73.8,75.1,,,81619,"(33.3767602729, -86.8051937568)",PREVENT,DENTAL,135896.0,,Dental Visit
2016,AL,Alabama,Hoover,City,BRFSS,Health Outcomes,0135896,Diagnosed diabetes among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,8.0,7.9,8.2,,,81619,"(33.3767602729, -86.8051937568)",HLTHOUT,DIABETES,135896.0,,Diabetes
2015,AL,Alabama,Hoover,City,BRFSS,Health Outcomes,0135896,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,AgeAdjPrv,Age-adjusted prevalence,32.2,32.0,32.4,,,81619,"(33.3767602729, -86.8051937568)",HLTHOUT,HIGHCHOL,135896.0,,High Cholesterol
2016,AL,Alabama,Hoover,City,BRFSS,Health Outcomes,0135896,Chronic kidney disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,2.2,2.2,2.3,,,81619,"(33.3767602729, -86.8051937568)",HLTHOUT,KIDNEY,135896.0,,Chronic Kidney Disease
2016,AL,Alabama,Hoover,City,BRFSS,Unhealthy Behaviors,0135896,No leisure-time physical activity among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,20.2,19.7,20.8,,,81619,"(33.3767602729, -86.8051937568)",UNHBEH,LPA,135896.0,,Physical Inactivity
2016,AL,Alabama,Hoover,City,BRFSS,Prevention,0135896,Mammography use among women aged 50–74 Years,%,AgeAdjPrv,Age-adjusted prevalence,78.9,78.1,79.6,,,81619,"(33.3767602729, -86.8051937568)",PREVENT,MAMMOUSE,135896.0,,Mammography
2016,AL,Alabama,Hoover,City,BRFSS,Health Outcomes,0135896,Mental health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,10.4,10.1,10.7,,,81619,"(33.3767602729, -86.8051937568)",HLTHOUT,MHLTH,135896.0,,Mental Health
2016,AL,Alabama,Hoover,City,BRFSS,Unhealthy Behaviors,0135896,Obesity among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,28.9,28.5,29.2,,,81619,"(33.3767602729, -86.8051937568)",UNHBEH,OBESITY,135896.0,,Obesity
2016,AL,Alabama,Hoover,City,BRFSS,Prevention,0135896,Papanicolaou smear use among adult women aged 21–65 Years,%,AgeAdjPrv,Age-adjusted prevalence,83.5,83.0,84.0,,,81619,"(33.3767602729, -86.8051937568)",PREVENT,PAPTEST,135896.0,,Pap Smear Test
2016,AL,Alabama,Hoover,City,BRFSS,Health Outcomes,0135896,Physical health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,9.6,9.3,9.9,,,81619,"(33.3767602729, -86.8051937568)",HLTHOUT,PHLTH,135896.0,,Physical Health
2016,AL,Alabama,Hoover,City,BRFSS,Unhealthy Behaviors,0135896,Sleeping less than 7 hours among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,32.8,32.5,33.2,,,81619,"(33.3767602729, -86.8051937568)",UNHBEH,SLEEP,135896.0,,Sleep <7 hours
2016,AL,Alabama,Hoover,City,BRFSS,Health Outcomes,0135896,Stroke among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,2.2,2.1,2.2,,,81619,"(33.3767602729, -86.8051937568)",HLTHOUT,STROKE,135896.0,,Stroke
2016,AL,Alabama,Hoover,City,BRFSS,Health Outcomes,0135896,All teeth lost among adults aged >=65 Years,%,AgeAdjPrv,Age-adjusted prevalence,8.3,7.4,9.4,,,81619,"(33.3767602729, -86.8051937568)",HLTHOUT,TEETHLOST,135896.0,,Teeth Loss
2016,AL,Alabama,Huntsville,City,BRFSS,Prevention,0137000,Current lack of health insurance among adults aged 18–64 Years,%,AgeAdjPrv,Age-adjusted prevalence,15.4,15.0,15.8,,,180105,"(34.6989692671, -86.6387042882)",PREVENT,ACCESS2,137000.0,,Health Insurance
2016,AL,Alabama,Huntsville,City,BRFSS,Health Outcomes,0137000,Arthritis among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,28.5,28.3,28.7,,,180105,"(34.6989692671, -86.6387042882)",HLTHOUT,ARTHRITIS,137000.0,,Arthritis
2016,AL,Alabama,Huntsville,City,BRFSS,Unhealthy Behaviors,0137000,Binge drinking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,14.3,14.2,14.4,,,180105,"(34.6989692671, -86.6387042882)",UNHBEH,BINGE,137000.0,,Binge Drinking
2015,AL,Alabama,Huntsville,City,BRFSS,Health Outcomes,0137000,High blood pressure among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,36.3,36.1,36.5,,,180105,"(34.6989692671, -86.6387042882)",HLTHOUT,BPHIGH,137000.0,,High Blood Pressure
2015,AL,Alabama,Huntsville,City,BRFSS,Prevention,0137000,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,AgeAdjPrv,Age-adjusted prevalence,66.9,66.7,67.1,,,180105,"(34.6989692671, -86.6387042882)",PREVENT,BPMED,137000.0,,Taking BP Medication
2016,AL,Alabama,Huntsville,City,BRFSS,Health Outcomes,0137000,Cancer (excluding skin cancer) among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,6.2,6.2,6.2,,,180105,"(34.6989692671, -86.6387042882)",HLTHOUT,CANCER,137000.0,,Cancer (except skin)
2016,AL,Alabama,Huntsville,City,BRFSS,Health Outcomes,0137000,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,9.5,9.4,9.6,,,180105,"(34.6989692671, -86.6387042882)",HLTHOUT,CASTHMA,137000.0,,Current Asthma
2016,AL,Alabama,Huntsville,City,BRFSS,Health Outcomes,0137000,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,6.4,6.3,6.5,,,180105,"(34.6989692671, -86.6387042882)",HLTHOUT,CHD,137000.0,,Coronary Heart Disease
2016,AL,Alabama,Huntsville,City,BRFSS,Prevention,0137000,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,69.1,69.0,69.3,,,180105,"(34.6989692671, -86.6387042882)",PREVENT,CHECKUP,137000.0,,Annual Checkup
2015,AL,Alabama,Huntsville,City,BRFSS,Prevention,0137000,Cholesterol screening among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,77.5,77.2,77.8,,,180105,"(34.6989692671, -86.6387042882)",PREVENT,CHOLSCREEN,137000.0,,Cholesterol Screening
2016,AL,Alabama,Huntsville,City,BRFSS,Prevention,0137000,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50–75 Years",%,AgeAdjPrv,Age-adjusted prevalence,71.6,71.1,72.1,,,180105,"(34.6989692671, -86.6387042882)",PREVENT,COLON_SCREEN,137000.0,,Colorectal Cancer Screening
2016,AL,Alabama,Huntsville,City,BRFSS,Health Outcomes,0137000,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,7.4,7.3,7.6,,,180105,"(34.6989692671, -86.6387042882)",HLTHOUT,COPD,137000.0,,COPD
2016,AL,Alabama,Huntsville,City,BRFSS,Prevention,0137000,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,AgeAdjPrv,Age-adjusted prevalence,46.0,44.9,47.1,,,180105,"(34.6989692671, -86.6387042882)",PREVENT,COREM,137000.0,,Core preventive services for older men
