State,City,Asthma_Prevalence,COPD_Prevalence,Stroke_Prevalence,Heart_Prevalence,Location,Population,Asthma_LCL,Asthma_HCL,COPD_LCL,COPD_HCL,Stroke_LCL,Stroke_HCL,Heart_LCL,Heart_HCL
VA,Hampton,9.7,6.4,3.6,6.0,"(37.0533009025, -76.3665945624)",137436,9.6,9.8,6.3,6.6,3.5,3.7,5.9,6.1
CA,Pasadena,7.9,4.5,2.5,4.6,"(34.1597634806, -118.138921644)",137122,7.8,8.0,4.4,4.6,2.5,2.6,4.5,4.7
CA,Orange,8.2,5.2,2.5,5.2,"(33.8046419567, -117.8231855)",136416,8.1,8.3,5.0,5.3,2.4,2.5,5.1,5.3
GA,Savannah,9.9,8.0,4.4,6.5,"(32.0283615157, -81.1783435493)",136286,9.8,10.0,7.9,8.2,4.4,4.5,6.4,6.6
NC,Cary,7.3,4.1,2.0,4.6,"(35.7814978722, -78.8152191642)",135234,7.2,7.4,3.9,4.2,2.0,2.1,4.5,4.7
CA,Fullerton,8.0,4.8,2.4,5.0,"(33.8840378013, -117.927850895)",135161,7.8,8.1,4.7,5.0,2.4,2.5,4.9,5.1
MI,Warren,11.5,9.2,3.4,6.9,"(42.4934233034, -83.0270075248)",134056,11.4,11.6,9.0,9.4,3.3,3.5,6.8,7.0
TN,Clarksville,10.3,8.1,3.4,6.7,"(36.569683159, -87.3432371614)",132929,10.2,10.4,7.9,8.2,3.3,3.5,6.6,6.8
TX,McKinney,8.3,4.9,2.5,5.2,"(33.1988886952, -96.6677029773)",131117,8.2,8.5,4.7,5.1,2.4,2.6,5.1,5.4
TX,McAllen,7.7,5.5,3.2,6.4,"(26.2186289942, -98.2451704536)",129877,7.5,7.8,5.3,5.6,3.1,3.3,6.2,6.5
CT,New Haven,11.2,7.3,3.8,6.0,"(41.3113869392, -72.9247595793)",129779,11.1,11.3,7.2,7.5,3.7,3.9,5.9,6.1
MI,Sterling Heights,10.6,7.7,2.8,6.2,"(42.580985283, -83.0303680858)",129699,10.5,10.8,7.5,7.9,2.8,2.9,6.0,6.3
UT,West Valley City,9.5,5.9,3.3,5.9,"(40.6887696962, -112.011667394)",129480,9.4,9.6,5.7,6.0,3.3,3.4,5.8,6.0
SC,Columbia,9.4,7.1,4.2,6.4,"(34.0366069566, -80.9037852694)",129272,9.2,9.5,6.9,7.3,4.1,4.3,6.3,6.5
TX,Killeen,9.5,6.1,3.4,6.2,"(31.0757648143, -97.7285651299)",127921,9.5,9.6,6.0,6.2,3.4,3.5,6.1,6.3
KS,Topeka,10.2,6.8,3.3,6.0,"(39.0359549911, -95.6954155341)",127473,10.1,10.3,6.7,6.9,3.2,3.3,5.9,6.1
CA,Thousand Oaks,8.1,4.4,2.1,4.5,"(34.1917745655, -118.874888411)",126683,8.0,8.2,4.3,4.5,2.0,2.2,4.4,4.6
IA,Cedar Rapids,8.0,5.3,2.7,5.6,"(41.966729258, -91.6781679349)",126326,7.9,8.2,5.1,5.4,2.6,2.7,5.5,5.7
KS,Olathe,8.7,4.7,2.3,4.9,"(38.884693021, -94.8192070197)",125872,8.6,8.8,4.6,4.9,2.2,2.4,4.8,5.0
NJ,Elizabeth,8.8,7.4,3.6,7.0,"(40.6664447729, -74.1938679138)",124969,8.7,8.9,7.3,7.6,3.6,3.7,6.9,7.1
TX,Waco,9.9,7.3,3.9,6.8,"(31.5597607137, -97.1883333282)",124805,9.8,10.0,7.1,7.4,3.8,4.0,6.7,7.0
CT,Hartford,12.3,7.8,4.5,7.3,"(41.7660706419, -72.6834012389)",124775,12.2,12.5,7.6,7.9,4.4,4.5,7.2,7.4
CA,Visalia,9.2,6.4,3.1,6.1,"(36.3270623157, -119.325273214)",124442,9.1,9.4,6.2,6.6,3.0,3.2,6.0,6.2
FL,Gainesville,8.4,7.6,3.7,6.7,"(29.6817027431, -82.345278266)",124354,8.3,8.4,7.4,7.8,3.6,3.8,6.6,6.9
CA,Simi Valley,8.3,4.8,2.3,4.7,"(34.2662462857, -118.748980462)",124237,8.2,8.4,4.7,5.0,2.2,2.3,4.7,4.8
CT,Stamford,8.6,4.5,2.3,4.8,"(41.1049145013, -73.5589363142)",122643,8.5,8.7,4.4,4.6,2.3,2.4,4.7,4.9
WA,Bellevue,7.9,3.6,2.0,4.2,"(47.5962437606, -122.153569982)",122363,7.8,8.0,3.4,3.7,1.9,2.0,4.1,4.3
CA,Concord,8.6,5.1,2.5,5.1,"(37.9721810307, -122.001588036)",122067,8.5,8.7,5.0,5.3,2.5,2.6,5.0,5.2
FL,Miramar,7.6,5.1,3.0,5.2,"(25.9773288233, -80.3357316003)",122041,7.5,7.8,5.0,5.3,3.0,3.1,5.1,5.3
FL,Coral Springs,7.4,5.7,2.7,5.4,"(26.2701700158, -80.2592221493)",121096,7.3,7.5,5.6,5.9,2.7,2.8,5.3,5.5
LA,Lafayette,9.1,7.3,3.6,6.8,"(30.2120582815, -92.0317532321)",120623,9.0,9.2,7.1,7.5,3.6,3.7,6.6,6.9
SC,Charleston,8.8,5.6,2.9,5.3,"(32.8136961892, -79.967381899)",120083,8.7,8.9,5.5,5.8,2.8,3.0,5.2,5.4
TX,Carrollton,8.1,5.0,2.6,5.4,"(32.988438459, -96.900137433)",119097,8.0,8.2,4.9,5.2,2.5,2.6,5.3,5.5
CA,Roseville,8.5,4.9,2.3,4.8,"(38.7657516182, -121.302847708)",118788,8.4,8.6,4.8,5.1,2.2,2.4,4.7,4.9
CO,Thornton,9.1,4.9,2.6,5.0,"(39.9193994188, -104.944956758)",118772,9.0,9.2,4.8,5.1,2.5,2.6,4.9,5.1
TX,Beaumont,9.9,6.5,4.0,6.4,"(30.084416647, -94.1441072222)",118296,9.8,10.0,6.4,6.7,3.9,4.1,6.3,6.5
PA,Allentown,10.7,8.0,3.9,7.4,"(40.596099618, -75.4755373968)",118032,10.5,10.8,7.8,8.2,3.8,4.0,7.2,7.5
AZ,Surprise,9.7,5.5,2.6,5.3,"(33.6803835177, -112.452218439)",117517,9.6,9.9,5.3,5.7,2.5,2.7,5.2,5.5
IN,Evansville,11.3,8.7,3.7,7.4,"(37.9867158026, -87.538270731)",117429,11.2,11.4,8.5,8.9,3.7,3.8,7.3,7.5
TX,Abilene,9.2,6.8,3.3,6.5,"(32.4546510898, -99.7383043723)",117063,9.1,9.3,6.6,7.0,3.3,3.4,6.4,6.6
TX,Frisco,7.7,3.8,2.0,4.4,"(33.1507545152, -96.8201336312)",116989,7.6,7.8,3.7,4.0,1.9,2.0,4.3,4.6
MO,Independence,10.2,8.5,3.3,6.5,"(39.0870794771, -94.3502748237)",116830,10.1,10.4,8.3,8.7,3.2,3.4,6.4,6.6
CA,Santa Clara,7.4,3.7,2.0,4.3,"(37.3646197504, -121.967932117)",116468,7.3,7.5,3.6,3.8,1.9,2.0,4.2,4.4
IL,Springfield,10.0,6.8,3.1,6.0,"(39.7716473322, -89.6540780049)",116250,9.9,10.1,6.7,7.0,3.1,3.2,5.9,6.1
CA,Vallejo,9.2,5.5,3.1,5.5,"(38.1135329247, -122.235518478)",115942,9.1,9.3,5.4,5.6,3.0,3.1,5.4,5.6
CA,Victorville,10.1,7.3,3.9,6.8,"(34.5277691103, -117.353855136)",115903,10.0,10.3,7.1,7.4,3.8,4.0,6.6,6.9
GA,Athens,9.3,7.8,4.0,6.6,"(33.9508170683, -83.3689417445)",115452,9.2,9.4,7.6,8.1,3.9,4.1,6.5,6.7
IL,Peoria,10.1,7.0,3.5,6.3,"(40.7515684146, -89.615255458)",115007,10.0,10.2,6.8,7.2,3.4,3.5,6.2,6.4
MI,Lansing,11.7,8.7,3.8,7.2,"(42.7090711751, -84.5584470022)",114297,11.6,11.9,8.5,8.9,3.8,3.9,7.1,7.3
MI,Ann Arbor,9.3,5.0,2.2,4.9,"(42.2756833567, -83.7311374448)",113934,9.2,9.5,4.9,5.2,2.2,2.3,4.8,5.0
CA,El Monte,8.1,5.9,3.3,6.2,"(34.073919653, -118.029071951)",113475,8.0,8.3,5.7,6.0,3.3,3.4,6.1,6.2
TX,Denton,8.7,5.8,2.9,5.7,"(33.2156160443, -97.1412438684)",113383,8.6,8.8,5.6,6.0,2.8,2.9,5.6,5.8
CA,Berkeley,8.7,4.1,2.3,4.3,"(37.8725678765, -122.274907975)",112580,8.6,8.7,4.0,4.2,2.2,2.3,4.3,4.4
UT,Provo,8.9,5.3,2.9,5.3,"(40.2457185288, -111.645715857)",112488,8.8,9.0,5.1,5.4,2.8,2.9,5.1,5.4
CA,Downey,7.9,4.8,2.6,5.0,"(33.937867256, -118.131150116)",111772,7.7,8.0,4.7,4.9,2.5,2.6,4.9,5.1
TX,Midland,8.6,5.2,2.6,5.5,"(32.0285948356, -102.109700973)",111147,8.5,8.7,5.0,5.3,2.5,2.7,5.4,5.6
OK,Norman,9.6,6.5,2.9,6.2,"(35.2335032647, -97.3470413838)",110925,9.5,9.8,6.3,6.7,2.8,2.9,6.1,6.4
CT,Waterbury,11.5,8.5,3.8,6.5,"(41.5582443266, -73.036129832)",110366,11.4,11.6,8.3,8.7,3.7,3.8,6.4,6.6
CA,Costa Mesa,8.4,5.4,2.6,5.4,"(33.6667651353, -117.91350475)",109960,8.3,8.6,5.3,5.6,2.5,2.7,5.3,5.5
CA,Inglewood,9.8,6.0,4.0,5.7,"(33.9565748018, -118.344444926)",109673,9.7,10.0,5.8,6.1,3.9,4.0,5.6,5.8
NH,Manchester,10.9,7.1,2.8,5.9,"(42.9844541713, -71.4445313287)",109565,10.8,11.1,6.9,7.3,2.8,2.9,5.8,6.0
TN,Murfreesboro,9.9,7.6,3.0,6.3,"(35.850778195, -86.408628238)",108755,9.7,10.0,7.3,7.8,3.0,3.1,6.1,6.4
MO,Columbia,9.4,6.5,2.9,5.7,"(38.9481109651, -92.3260129764)",108500,9.3,9.6,6.3,6.8,2.8,3.0,5.6,5.9
IL,Elgin,9.1,6.1,2.9,6.0,"(42.0385402472, -88.3224947104)",108188,8.9,9.2,5.9,6.3,2.9,3.0,5.9,6.1
FL,Clearwater,7.9,7.4,3.1,6.4,"(27.9805997919, -82.7544099135)",107685,7.8,8.0,7.2,7.6,3.1,3.2,6.2,6.5
FL,Miami Gardens,9.3,7.6,4.7,6.6,"(25.9432633871, -80.2425332162)",107167,9.1,9.4,7.3,7.8,4.6,4.8,6.5,6.7
MN,Rochester,7.9,4.2,2.4,4.9,"(44.0150574384, -92.4775005494)",106769,7.8,8.0,4.0,4.3,2.3,2.5,4.8,5.0
CO,Pueblo,9.7,6.3,3.3,6.2,"(38.2733957251, -104.612001218)",106595,9.6,9.8,6.2,6.5,3.3,3.4,6.1,6.3
MA,Lowell,10.9,7.0,3.3,6.3,"(42.6388727331, -71.321714396)",106519,10.7,11.0,6.8,7.2,3.2,3.4,6.2,6.4
NC,Wilmington,8.8,6.5,3.3,6.1,"(34.2102758569, -77.8872842368)",106476,8.7,8.9,6.4,6.7,3.2,3.4,6.0,6.3
CA,San Buenaventura (Ventura),8.5,5.2,2.4,5.0,"(34.2743610206, -119.231436551)",106433,8.4,8.6,5.0,5.3,2.4,2.5,4.9,5.1
CO,Arvada,9.0,4.5,2.3,4.7,"(39.8308263293, -105.146327974)",106433,8.9,9.1,4.4,4.6,2.2,2.3,4.6,4.8
CO,Westminster,8.8,4.5,2.3,4.7,"(39.8838511475, -105.062645316)",106114,8.7,8.9,4.3,4.6,2.3,2.4,4.6,4.8
CA,West Covina,7.3,4.2,2.3,4.5,"(34.0554415174, -117.91128206)",106098,7.2,7.3,4.1,4.2,2.3,2.4,4.5,4.6
OR,Gresham,10.2,6.7,3.2,6.2,"(45.5024256798, -122.441469029)",105594,10.1,10.4,6.6,6.9,3.1,3.3,6.1,6.3
CA,Norwalk,7.9,5.0,2.8,5.3,"(33.9068808228, -118.082915204)",105549,7.8,8.0,4.9,5.2,2.7,2.8,5.2,5.4
ND,Fargo,8.7,4.9,2.6,5.5,"(46.8652457832, -96.8289882328)",105549,8.6,8.8,4.7,5.0,2.6,2.7,5.4,5.7
CA,Carlsbad,7.8,4.0,2.0,4.2,"(33.1248051026, -117.282903303)",105328,7.7,7.9,3.9,4.2,1.9,2.1,4.1,4.4
CA,Fairfield,9.4,5.7,2.9,5.5,"(38.2558446343, -122.039303253)",105321,9.3,9.5,5.6,5.8,2.9,3.0,5.4,5.5
MA,Cambridge,9.7,4.2,2.2,4.5,"(42.3758188051, -71.1183992378)",105162,9.6,9.8,4.1,4.4,2.2,2.3,4.4,4.6
TX,Wichita Falls,9.1,7.0,3.3,6.6,"(33.9072739838, -98.5292981697)",104553,9.0,9.2,6.8,7.2,3.3,3.4,6.5,6.7
NC,High Point,9.2,7.2,3.9,6.5,"(35.9881243803, -79.9932956384)",104371,9.1,9.3,7.0,7.4,3.8,4.0,6.4,6.6
MT,Billings,9.1,5.9,2.8,5.6,"(45.7893102609, -108.54882784)",104170,9.0,9.2,5.7,6.1,2.7,2.8,5.5,5.7
WI,Green Bay,9.5,6.7,3.2,6.5,"(44.5149847816, -87.9896195955)",104057,9.4,9.6,6.5,6.9,3.1,3.3,6.3,6.6
UT,West Jordan,8.9,4.5,2.5,4.7,"(40.6022598635, -112.000961848)",103712,8.8,9.0,4.3,4.6,2.4,2.6,4.6,4.8
CA,Richmond,9.4,5.6,3.4,5.6,"(37.9479710365, -122.336803759)",103701,9.3,9.5,5.5,5.7,3.3,3.5,5.5,5.7
CA,Murrieta,8.3,4.9,2.4,5.1,"(33.5719743356, -117.190921143)",103466,8.2,8.4,4.8,5.1,2.4,2.5,4.9,5.2
CA,Burbank,8.1,4.9,2.4,4.7,"(34.1879799605, -118.323429032)",103340,8.0,8.2,4.8,5.1,2.4,2.5,4.6,4.8
FL,Palm Bay,8.6,8.1,3.5,6.6,"(27.9838255249, -80.6666722846)",103190,8.4,8.7,7.9,8.4,3.4,3.6,6.5,6.8
WA,Everett,10.1,6.9,3.1,6.1,"(47.9497966189, -122.160703911)",103019,10.0,10.2,6.7,7.1,3.1,3.2,6.0,6.2
MI,Flint,13.5,11.7,5.8,9.0,"(43.0236339386, -83.6920640313)",102434,13.4,13.7,11.4,11.9,5.7,5.9,8.9,9.1
CA,Antioch,9.2,5.7,2.9,5.6,"(37.9777042922, -121.796606971)",102372,9.0,9.3,5.6,5.9,2.9,3.0,5.5,5.6
PA,Erie,11.2,8.5,4.0,7.4,"(42.1164698754, -80.0730358517)",101786,11.1,11.3,8.3,8.7,3.9,4.1,7.2,7.5
IN,South Bend,11.5,8.7,4.1,7.3,"(41.6769914549, -86.2690372417)",101168,11.4,11.7,8.5,8.9,4.0,4.1,7.2,7.4
CA,Daly City,7.0,3.5,2.0,4.2,"(37.6861552276, -122.468298024)",101123,6.9,7.1,3.4,3.6,2.0,2.1,4.1,4.3
CO,Centennial,7.9,3.7,1.9,4.0,"(39.592872073, -104.867986891)",100377,7.8,8.0,3.5,3.8,1.9,2.0,3.9,4.1
CA,Temecula,8.1,4.6,2.3,4.9,"(33.5029980884, -117.12239028)",100097,8.0,8.2,4.5,4.8,2.2,2.4,4.8,5.0
TX,Odessa,8.8,5.9,3.0,6.2,"(31.879456461, -102.344465435)",99940,8.6,8.9,5.8,6.1,2.9,3.1,6.0,6.3
FL,West Palm Beach,8.0,7.0,3.5,6.4,"(26.7478714655, -80.1337397544)",99919,7.9,8.1,6.8,7.2,3.4,3.6,6.3,6.5
TX,Round Rock,8.4,4.9,2.5,5.2,"(30.5239578235, -97.6669801882)",99887,8.3,8.5,4.7,5.1,2.4,2.6,5.1,5.4
FL,Pompano Beach,8.4,7.8,3.8,6.7,"(26.2428335699, -80.131245161)",99845,8.3,8.6,7.6,8.0,3.7,3.9,6.5,6.8
IA,Davenport,8.5,5.9,3.0,6.1,"(41.5557926876, -90.6051730163)",99685,8.4,8.6,5.8,6.1,3.0,3.1,5.9,6.2
CA,Santa Maria,9.5,7.1,3.6,6.7,"(34.9333735757, -120.443326954)",99553,9.3,9.7,6.9,7.3,3.5,3.7,6.6,6.9
CA,El Cajon,9.5,7.2,3.5,6.2,"(32.8016581921, -116.960483614)",99478,9.4,9.7,7.0,7.4,3.4,3.6,6.1,6.4
TX,Richardson,7.9,4.4,2.3,5.0,"(32.9716582389, -96.7093052991)",99223,7.8,8.0,4.3,4.6,2.2,2.4,4.9,5.1
WI,Kenosha,9.5,6.5,3.1,6.3,"(42.585570271, -87.8735745085)",99218,9.4,9.7,6.3,6.7,3.1,3.2,6.2,6.5
CA,Rialto,9.9,6.5,3.6,6.4,"(34.1128158089, -117.388535978)",99171,9.8,10.1,6.3,6.6,3.6,3.7,6.3,6.5
OK,Broken Arrow,9.3,5.8,2.6,5.6,"(36.0366324911, -95.7809572414)",98850,9.2,9.4,5.6,5.9,2.5,2.7,5.5,5.7
MI,Dearborn,11.6,10.4,3.8,7.5,"(42.3126884626, -83.2129368006)",98153,11.4,11.8,10.1,10.7,3.7,3.9,7.4,7.7
NY,Albany,11.9,7.1,3.5,6.3,"(42.6663969604, -73.7986826267)",97856,11.7,12.0,6.9,7.3,3.4,3.6,6.2,6.5
NM,Las Cruces,10.3,5.8,3.1,6.1,"(32.326638797, -106.789465579)",97618,10.1,10.4,5.6,6.0,3.0,3.2,5.9,6.2
SC,North Charleston,10.1,8.0,4.4,7.0,"(32.9100915071, -80.0738525014)",97471,9.9,10.2,7.8,8.2,4.3,4.5,6.9,7.1
FL,Lakeland,8.7,8.1,3.8,6.8,"(28.0558482664, -81.9539536462)",97422,8.6,8.9,7.9,8.3,3.7,3.9,6.7,6.9
CO,Boulder,8.1,4.2,2.3,4.5,"(40.0275510494, -105.25151776)",97385,8.0,8.2,4.1,4.4,2.2,2.4,4.4,4.7
CA,San Mateo,8.0,4.2,2.1,4.4,"(37.5518226893, -122.312390346)",97207,7.9,8.1,4.1,4.3,2.1,2.2,4.3,4.5
VA,Roanoke,9.9,7.7,3.7,6.5,"(37.2782181855, -79.9581615989)",97032,9.8,10.1,7.4,7.9,3.6,3.8,6.4,6.7
MI,Livonia,9.8,6.4,2.4,5.4,"(42.3971592737, -83.3733073683)",96942,9.6,9.9,6.2,6.6,2.3,2.4,5.3,5.5
TX,Tyler,9.6,6.5,3.5,6.3,"(32.3154021183, -95.3050093799)",96900,9.5,9.7,6.3,6.7,3.4,3.6,6.2,6.4
OK,Lawton,10.1,8.0,3.7,7.1,"(34.6170564899, -98.4203934803)",96867,10.0,10.2,7.8,8.2,3.7,3.8,6.9,7.2
CA,Compton,10.2,7.0,4.6,6.5,"(33.892965693, -118.227506568)",96455,10.0,10.3,6.9,7.2,4.5,4.7,6.4,6.6
CA,Clovis,9.0,5.6,2.7,5.2,"(36.8289400179, -119.68665285)",95631,8.9,9.1,5.5,5.8,2.6,2.7,5.1,5.4
VA,Portsmouth,10.2,7.0,3.8,6.1,"(36.8451450228, -76.3552763467)",95535,10.1,10.3,6.8,7.2,3.7,3.9,6.0,6.3
TX,Lewisville,8.5,5.5,2.8,5.6,"(33.0451992429, -96.9829273031)",95290,8.4,8.6,5.4,5.7,2.7,2.8,5.5,5.7
MA,New Bedford,13.1,10.0,3.9,7.4,"(41.6712667258, -70.9441204537)",95072,12.9,13.3,9.8,10.2,3.8,4.0,7.3,7.6
CA,South Gate,8.6,6.0,3.4,6.3,"(33.9447322664, -118.192550525)",94396,8.4,8.8,5.8,6.2,3.3,3.5,6.2,6.5
TX,College Station,8.4,5.3,2.8,5.7,"(30.5867615801, -96.2957958614)",93857,8.3,8.5,5.1,5.5,2.8,2.9,5.5,5.8
GA,Sandy Springs,7.7,4.7,2.3,4.7,"(33.9366669867, -84.3703197084)",93853,7.6,7.8,4.5,4.9,2.2,2.4,4.6,4.9
CA,Vista,8.7,6.0,3.0,5.7,"(33.1895481978, -117.238607217)",93834,8.6,8.8,5.8,6.1,2.9,3.1,5.6,5.8
MA,Brockton,12.9,8.3,3.7,6.7,"(42.082071372, -71.0241656338)",93810,12.8,13.0,8.1,8.5,3.6,3.7,6.6,6.8
CA,Mission Viejo,8.0,4.3,2.0,4.4,"(33.6095976891, -117.655029608)",93305,7.9,8.1,4.1,4.4,1.9,2.1,4.3,4.5
TX,San Angelo,8.7,6.1,3.0,6.1,"(31.440468746, -100.452243142)",93200,8.6,8.9,5.9,6.2,2.9,3.1,6.0,6.3
AZ,Yuma,9.9,7.1,3.3,6.9,"(32.5986027117, -114.54836837)",93064,9.7,10.0,7.0,7.3,3.3,3.4,6.8,7.1
CO,Greeley,9.2,5.6,3.0,5.6,"(40.4141369521, -104.771170982)",92889,9.0,9.3,5.4,5.7,2.9,3.1,5.5,5.8
CA,Vacaville,9.1,5.5,2.7,5.4,"(38.3597235063, -121.96903046)",92428,9.0,9.2,5.3,5.7,2.6,2.7,5.2,5.5
WA,Kent,9.9,6.3,3.2,6.0,"(47.3849636272, -122.217890194)",92411,9.8,10.1,6.1,6.5,3.1,3.3,5.8,6.1
MA,Quincy,9.8,5.4,2.4,5.3,"(42.2492981918, -71.0218764062)",92271,9.7,9.9,5.2,5.6,2.3,2.5,5.1,5.4
FL,Davie,7.2,5.8,2.6,5.5,"(26.0789340778, -80.2869750311)",91992,7.1,7.3,5.6,6.0,2.6,2.7,5.3,5.6
CA,Carson,8.0,4.4,2.7,4.7,"(33.8374083001, -118.255936422)",91714,7.9,8.1,4.3,4.5,2.6,2.7,4.6,4.7
OR,Hillsboro,9.7,5.4,2.6,5.3,"(45.529027994, -122.937442209)",91611,9.5,9.8,5.2,5.6,2.5,2.7,5.2,5.5
MO,Lee's Summit,9.1,5.7,2.3,5.0,"(38.9170508128, -94.3814865856)",91364,9.0,9.2,5.4,5.9,2.2,2.4,4.9,5.2
GA,Macon,11.1,9.9,5.7,7.7,"(32.8320417692, -83.6495823768)",91351,11.0,11.3,9.7,10.1,5.6,5.8,7.6,7.8
TX,Pearland,7.9,4.2,2.2,4.8,"(29.5584850577, -95.3208389111)",91252,7.8,8.1,4.0,4.4,2.1,2.3,4.6,4.9
WA,Yakima,10.6,7.7,3.7,6.8,"(46.5925792092, -120.547807614)",91067,10.5,10.8,7.5,7.9,3.6,3.8,6.6,6.9
WA,Renton,9.1,5.0,2.6,5.1,"(47.4760546752, -122.191153327)",90927,9.0,9.2,4.8,5.1,2.6,2.7,5.0,5.2
AL,Tuscaloosa,9.7,8.3,4.1,6.8,"(33.2336083951, -87.5268004073)",90468,9.6,9.8,8.0,8.5,4.0,4.2,6.7,7.0
MA,Lynn,11.4,7.3,3.3,6.8,"(42.4783322881, -70.9662372538)",90329,11.3,11.6,7.1,7.5,3.3,3.4,6.6,6.9
NV,Sparks,8.8,6.3,3.0,6.1,"(39.573373276, -119.713134168)",90264,8.7,9.0,6.1,6.5,2.9,3.1,6.0,6.3
CA,Hesperia,10.1,7.6,3.7,6.9,"(34.3973476773, -117.314392219)",90173,10.0,10.3,7.4,7.8,3.6,3.8,6.8,7.0
CA,Redding,9.6,6.9,3.1,6.0,"(40.5697591271, -122.365026322)",89861,9.5,9.8,6.7,7.1,3.0,3.2,5.9,6.1
OR,Beaverton,9.6,5.1,2.5,5.1,"(45.4795765674, -122.814973469)",89803,9.4,9.7,4.9,5.3,2.4,2.6,5.0,5.2
WA,Spokane Valley,10.7,7.0,2.9,5.9,"(47.662556574, -117.234571922)",89755,10.6,10.9,6.8,7.2,2.8,3.0,5.8,6.1
CA,Santa Monica,7.7,4.0,2.1,4.1,"(34.0231891612, -118.481563937)",89736,7.6,7.8,3.8,4.1,2.0,2.1,4.0,4.2
CA,Westminster,7.8,5.4,2.8,5.6,"(33.7521523769, -117.993760054)",89701,7.7,8.0,5.2,5.5,2.7,2.8,5.5,5.7
WA,Federal Way,9.7,5.8,3.0,5.7,"(47.3090846316, -122.335755583)",89306,9.6,9.8,5.6,6.0,2.9,3.1,5.6,5.8
IL,Waukegan,10.0,7.1,3.8,7.1,"(42.3702955582, -87.8712595095)",89078,9.8,10.1,7.0,7.3,3.7,3.9,7.0,7.3
MA,Fall River,13.1,10.1,3.7,7.4,"(41.7139907598, -71.0996396919)",88857,12.8,13.3,9.8,10.4,3.6,3.8,7.2,7.5
CA,Santa Barbara,8.4,4.9,2.4,5.0,"(34.4285733874, -119.720187334)",88410,8.3,8.5,4.7,5.0,2.4,2.5,4.9,5.1
GA,Roswell,7.5,4.6,2.2,4.7,"(34.0391384583, -84.3512225277)",88346,7.3,7.6,4.4,4.8,2.1,2.3,4.5,4.8
UT,Orem,8.7,5.0,2.7,5.1,"(40.2987127625, -111.699188517)",88328,8.5,8.8,4.9,5.2,2.7,2.8,5.0,5.3
PA,Reading,11.7,9.7,4.9,8.7,"(40.3399678686, -75.9266128837)",88082,11.6,11.8,9.6,9.9,4.8,5.0,8.6,8.8
FL,Miami Beach,6.5,5.1,2.6,5.5,"(25.8167101614, -80.1341952652)",87779,6.4,6.5,4.9,5.2,2.5,2.6,5.4,5.6
KS,Lawrence,9.1,5.4,2.7,5.5,"(38.9599302924, -95.2628259088)",87643,9.0,9.3,5.2,5.6,2.7,2.8,5.3,5.6
NM,Rio Rancho,9.7,5.2,2.6,5.1,"(35.287307935, -106.697981552)",87521,9.5,9.8,5.0,5.4,2.5,2.7,5.0,5.3
UT,Sandy,8.6,3.9,2.2,4.3,"(40.5702254423, -111.852431062)",87461,8.4,8.7,3.8,4.0,2.2,2.3,4.2,4.4
NH,Nashua,10.4,6.3,2.5,5.5,"(42.7491554459, -71.4909587631)",86494,10.2,10.6,6.0,6.5,2.5,2.6,5.3,5.6
CO,Longmont,8.4,5.0,2.5,4.9,"(40.1695164708, -105.10195106)",86270,8.3,8.5,4.8,5.1,2.4,2.6,4.8,5.1
MN,Duluth,8.5,5.5,3.0,5.7,"(46.7854703427, -92.1342013763)",86265,8.4,8.6,5.3,5.6,2.9,3.1,5.6,5.8
AR,Fort Smith,10.2,9.0,3.9,7.8,"(35.3491692636, -94.3696317306)",86209,10.0,10.3,8.8,9.2,3.8,4.0,7.7,8.0
CA,Chico,9.5,6.3,2.9,5.8,"(39.7568503668, -121.815983972)",86187,9.4,9.6,6.1,6.5,2.8,3.0,5.6,5.9
CT,Norwalk,8.9,4.7,2.4,4.9,"(41.1175631682, -73.4224513123)",85603,8.8,9.0,4.6,4.9,2.3,2.5,4.8,5.0
CA,Whittier,7.7,4.6,2.4,4.8,"(33.9678255596, -118.018796341)",85331,7.6,7.8,4.5,4.7,2.4,2.5,4.7,4.9
CA,Newport Beach,7.8,3.8,1.9,4.2,"(33.6150103607, -117.867364631)",85186,7.7,7.9,3.7,4.0,1.8,1.9,4.1,4.3
FL,Deltona,8.3,8.2,3.3,6.9,"(28.905060048, -81.2134269839)",85182,8.2,8.4,8.0,8.5,3.3,3.4,6.8,7.0
MA,Newton,9.2,3.7,1.8,4.0,"(42.3316567616, -71.2084466944)",85146,9.1,9.4,3.5,3.8,1.7,1.8,3.9,4.1
FL,Plantation,7.4,5.4,2.6,5.1,"(26.1259853923, -80.2616762465)",84955,7.3,7.5,5.2,5.6,2.5,2.7,5.0,5.3
CA,San Leandro,8.7,4.7,2.5,4.9,"(37.7074299262, -122.159061655)",84950,8.6,8.8,4.6,4.9,2.5,2.6,4.8,5.0
NJ,Trenton,10.7,9.3,5.1,7.9,"(40.2237289981, -74.7639943311)",84913,10.6,10.9,9.1,9.5,5.0,5.2,7.8,8.0
VA,Suffolk,9.5,6.1,3.2,5.7,"(36.6930367981, -76.6414278469)",84585,9.3,9.6,6.0,6.3,3.2,3.3,5.6,5.8
NC,Greenville,9.4,7.0,4.0,6.6,"(35.5959211876, -77.3766133673)",84554,9.3,9.6,6.8,7.2,3.9,4.1,6.4,6.7
FL,Sunrise,8.0,6.5,3.3,5.9,"(26.1546878303, -80.299841102)",84439,7.9,8.1,6.3,6.7,3.2,3.4,5.7,6.0
